participant_id,video_id,video_type,prime_type,classification_difficulty,action_match,trial,fixation_id,loop,frame,duration_ms,x_px,y_px
A110_002,33974,full,inpainted,Hard,1,21,3,1,84,103,272.2874251,123.5289421
A110_002,33974,full,inpainted,Hard,1,21,3,1,85,103,272.2874251,123.5289421
A110_002,33974,full,inpainted,Hard,1,21,3,1,86,103,272.2874251,123.5289421
A110_002,33974,full,inpainted,Hard,1,21,3,1,87,103,272.2874251,123.5289421
A110_002,33974,full,inpainted,Hard,1,21,4,1,94,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,95,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,96,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,97,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,98,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,99,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,100,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,101,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,4,1,102,123,332.4550898,134.9620758
A110_002,33974,full,inpainted,Hard,1,21,5,1,103,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,104,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,105,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,106,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,107,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,108,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,109,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,110,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,111,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,112,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,113,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,114,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,115,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,116,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,117,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,118,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,119,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,120,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,121,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,122,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,123,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,124,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,125,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,126,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,5,1,127,398,283.1457086,121.2934132
A110_002,33974,full,inpainted,Hard,1,21,6,1,132,304,266.2195609,126.7225549
A110_002,33974,full,inpainted,Hard,1,21,6,1,133,304,266.2195609,126.7225549
A110_002,33974,full,inpainted,Hard,1,21,6,1,134,304,266.2195609,126.7225549
A110_002,33974,full,inpainted,Hard,1,21,6,1,135,304,266.2195609,126.7225549
A110_002,33974,full,inpainted,Hard,1,21,6,1,136,304,266.2195609,126.7225549
A110_002,33974,full,inpainted,Hard,1,21,6,1,137,304,266.2195609,126.7225549
A110_002,33974,full,inpainted,Hard,1,21,6,1,138,304,266.2195609,126.7225549
A110_002,33974,full,inpainted,Hard,1,21,7,2,5,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,6,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,7,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,8,230,249.2934132,133.4291417
A110_002,33974,full,inpainted,Hard,1,21,7,2,9,230,249.2934132,133.4291417
